family,op_pair,producer_class,consumer_class,dtype,R,C,arith_intensity,beneficial,bytes_fused,bytes_unfused,f_occ,f_occ_binder,f_regs,f_smem,f_spilled,f_spills,f_threads,flops,maxdiff,n_launches_unfused,param_BLOCK,param_BLOCK_C,param_BLOCK_R,param_GS,param_K,param_NOUT,param_num_warps,speedup,t_fused_min,t_fused_ms,t_unfused_min,t_unfused_ms,u_occ,u_regs,u_smem,u_spilled,u_spills
pointwise,pointwise_chain_k1,pointwise,pointwise,float16,2048,2048,1.25,1,16777216,16777216,1.0,warps,18,0,0,0,128,20971520,0.00e+00,1,1024,,,,1,,4,1.0829,0.08806,0.09267,0.09114,0.10035,1.0,18,0,0,0
pointwise,pointwise_chain_k1,pointwise,pointwise,float32,2048,2048,0.625,1,33554432,33554432,1.0,warps,21,0,0,0,128,20971520,0.00e+00,1,1024,,,,1,,4,1.0083,0.17408,0.18483,0.17306,0.18637,1.0,21,0,0,0
pointwise,pointwise_chain_k2,pointwise,pointwise,float16,2048,2048,2.5,1,16777216,33554432,1.0,warps,19,0,0,0,128,41943040,0.00e+00,2,1024,,,,2,,4,1.3459,0.08602,0.09472,0.11162,0.12749,1.0,18,0,0,0
pointwise,pointwise_chain_k2,pointwise,pointwise,float32,2048,2048,1.25,1,33554432,67108864,1.0,warps,25,0,0,0,128,41943040,0.00e+00,2,1024,,,,2,,4,1.3875,0.15667,0.16384,0.21709,0.22733,1.0,21,0,0,0
pointwise,pointwise_chain_k4,pointwise,pointwise,float16,2048,2048,5.0,1,16777216,67108864,1.0,warps,19,0,0,0,128,83886080,0.00e+00,4,1024,,,,4,,4,1.6852,0.10342,0.11059,0.17613,0.18637,1.0,18,0,0,0
pointwise,pointwise_chain_k4,pointwise,pointwise,float32,2048,2048,2.5,1,33554432,134217728,1.0,warps,24,0,0,0,128,83886080,0.00e+00,4,1024,,,,4,,4,2.2327,0.15462,0.16282,0.35328,0.36352,1.0,21,0,0,0
pointwise,pointwise_chain_k8,pointwise,pointwise,float16,2048,2048,10.0,1,16777216,134217728,1.0,warps,19,0,0,0,128,167772160,0.00e+00,8,1024,,,,8,,4,1.4814,0.19149,0.22016,0.3072,0.32614,1.0,18,0,0,0
pointwise,pointwise_chain_k8,pointwise,pointwise,float32,2048,2048,5.0,1,33554432,268435456,1.0,warps,23,0,0,0,128,167772160,0.00e+00,8,1024,,,,8,,4,3.2513,0.19251,0.20378,0.62874,0.66253,1.0,21,0,0,0
pointwise,pointwise_chain_k16,pointwise,pointwise,float16,2048,2048,20.0,1,16777216,268435456,1.0,warps,19,0,0,0,128,335544320,0.00e+00,16,1024,,,,16,,4,1.2899,0.41267,0.52634,0.58061,0.67891,1.0,18,0,0,0
pointwise,pointwise_chain_k16,pointwise,pointwise,float32,2048,2048,10.0,1,33554432,536870912,1.0,warps,23,0,0,0,128,335544320,0.00e+00,16,1024,,,,16,,4,3.22,0.41882,0.4352,1.17862,1.40134,1.0,21,0,0,0
pointwise,pointwise_chain_k32,pointwise,pointwise,float16,2048,2048,40.0,1,16777216,536870912,1.0,warps,19,0,0,0,128,671088640,0.00e+00,32,1024,,,,32,,4,2.0682,0.65946,0.67584,1.27488,1.39776,1.0,18,0,0,0
pointwise,pointwise_chain_k32,pointwise,pointwise,float32,2048,2048,20.0,1,33554432,1073741824,1.0,warps,23,0,0,0,128,671088640,0.00e+00,32,1024,,,,32,,4,4.4456,0.65741,0.66765,2.59277,2.96806,1.0,21,0,0,0
pointwise,pointwise_chain_k1,pointwise,pointwise,float16,4096,4096,1.25,0,67108864,67108864,1.0,warps,18,0,0,0,128,83886080,0.00e+00,1,1024,,,,1,,4,0.9955,0.4311,0.45107,0.43213,0.44902,1.0,18,0,0,0
pointwise,pointwise_chain_k1,pointwise,pointwise,float32,4096,4096,0.625,1,134217728,134217728,1.0,warps,21,0,0,0,128,83886080,0.00e+00,1,1024,,,,1,,4,1.0194,0.87347,0.89702,0.87347,0.91443,1.0,21,0,0,0
pointwise,pointwise_chain_k2,pointwise,pointwise,float16,4096,4096,2.5,1,67108864,134217728,1.0,warps,19,0,0,0,128,167772160,0.00e+00,2,1024,,,,2,,4,1.9989,0.4352,0.45005,0.86118,0.89958,1.0,18,0,0,0
pointwise,pointwise_chain_k2,pointwise,pointwise,float32,4096,4096,1.25,1,134217728,268435456,1.0,warps,25,0,0,0,128,167772160,0.00e+00,2,1024,,,,2,,4,1.6844,0.87347,0.90522,1.35578,1.52474,1.0,21,0,0,0
pointwise,pointwise_chain_k4,pointwise,pointwise,float16,4096,4096,5.0,1,67108864,268435456,1.0,warps,19,0,0,0,128,335544320,0.00e+00,4,1024,,,,4,,4,3.183,0.37274,0.4393,1.34758,1.39827,1.0,18,0,0,0
pointwise,pointwise_chain_k4,pointwise,pointwise,float32,4096,4096,2.5,1,134217728,536870912,1.0,warps,24,0,0,0,128,335544320,0.00e+00,4,1024,,,,4,,4,4.0508,0.68403,0.70554,2.72384,2.85798,1.0,21,0,0,0
pointwise,pointwise_chain_k8,pointwise,pointwise,float16,4096,4096,10.0,1,67108864,536870912,1.0,warps,19,0,0,0,128,671088640,0.00e+00,8,1024,,,,8,,4,3.1769,0.74957,0.89139,2.69619,2.83187,1.0,18,0,0,0
pointwise,pointwise_chain_k8,pointwise,pointwise,float32,4096,4096,5.0,1,134217728,1073741824,1.0,warps,23,0,0,0,128,671088640,0.00e+00,8,1024,,,,8,,4,7.879,0.68608,0.72806,5.64224,5.73645,1.0,21,0,0,0
pointwise,pointwise_chain_k16,pointwise,pointwise,float16,4096,4096,20.0,1,67108864,1073741824,1.0,warps,19,0,0,0,128,1342177280,0.00e+00,16,1024,,,,16,,4,3.8607,1.24928,1.47763,5.60435,5.7047,1.0,18,0,0,0
pointwise,pointwise_chain_k16,pointwise,pointwise,float32,4096,4096,10.0,1,134217728,2147483648,1.0,warps,23,0,0,0,128,1342177280,0.00e+00,16,1024,,,,16,,4,6.8178,1.25952,1.664,11.23942,11.3449,1.0,21,0,0,0
pointwise,pointwise_chain_k32,pointwise,pointwise,float16,4096,4096,40.0,1,67108864,2147483648,1.0,warps,19,0,0,0,128,2684354560,0.00e+00,32,1024,,,,32,,4,5.1398,2.67366,2.83187,11.22816,14.55514,1.0,18,0,0,0
pointwise,pointwise_chain_k32,pointwise,pointwise,float32,4096,4096,20.0,1,134217728,4294967296,1.0,warps,23,0,0,0,128,2684354560,0.00e+00,32,1024,,,,32,,4,10.6637,2.16678,2.61376,22.7584,27.87226,1.0,21,0,0,0
pointwise,pointwise_chain_k1,pointwise,pointwise,float16,8192,2048,1.25,0,67108864,67108864,1.0,warps,18,0,0,0,128,83886080,0.00e+00,1,1024,,,,1,,4,0.9928,0.33792,0.35482,0.3369,0.35226,1.0,18,0,0,0
pointwise,pointwise_chain_k1,pointwise,pointwise,float32,8192,2048,0.625,0,134217728,134217728,1.0,warps,21,0,0,0,128,83886080,0.00e+00,1,1024,,,,1,,4,1.0,0.68198,0.70349,0.68506,0.70349,1.0,21,0,0,0
pointwise,pointwise_chain_k2,pointwise,pointwise,float16,8192,2048,2.5,1,67108864,134217728,1.0,warps,19,0,0,0,128,167772160,0.00e+00,2,1024,,,,2,,4,1.9581,0.34202,0.3543,0.67379,0.69376,1.0,18,0,0,0
pointwise,pointwise_chain_k2,pointwise,pointwise,float32,8192,2048,1.25,1,134217728,268435456,1.0,warps,25,0,0,0,128,167772160,0.00e+00,2,1024,,,,2,,4,1.9848,0.68198,0.70656,1.35578,1.40237,1.0,21,0,0,0
pointwise,pointwise_chain_k4,pointwise,pointwise,float16,8192,2048,5.0,1,67108864,268435456,1.0,warps,19,0,0,0,128,335544320,0.00e+00,4,1024,,,,4,,4,3.2698,0.38707,0.42701,1.35066,1.39622,1.0,18,0,0,0
pointwise,pointwise_chain_k4,pointwise,pointwise,float32,8192,2048,2.5,1,134217728,536870912,1.0,warps,24,0,0,0,128,335544320,0.00e+00,4,1024,,,,4,,4,4.0029,0.68301,0.71117,2.72998,2.84672,1.0,21,0,0,0
pointwise,pointwise_chain_k8,pointwise,pointwise,float16,8192,2048,10.0,1,67108864,536870912,1.0,warps,19,0,0,0,128,671088640,0.00e+00,8,1024,,,,8,,4,3.2382,0.73421,0.87706,2.70234,2.84006,1.0,18,0,0,0
pointwise,pointwise_chain_k8,pointwise,pointwise,float32,8192,2048,5.0,1,134217728,1073741824,1.0,warps,23,0,0,0,128,671088640,0.00e+00,8,1024,,,,8,,4,6.1529,0.71578,0.93082,5.64224,5.72723,1.0,21,0,0,0
pointwise,pointwise_chain_k16,pointwise,pointwise,float16,8192,2048,20.0,1,67108864,1073741824,1.0,warps,19,0,0,0,128,1342177280,0.00e+00,16,1024,,,,16,,4,3.9282,1.30867,1.44794,5.60538,5.68781,1.0,18,0,0,0
pointwise,pointwise_chain_k16,pointwise,pointwise,float32,8192,2048,10.0,1,134217728,2147483648,1.0,warps,23,0,0,0,128,1342177280,0.00e+00,16,1024,,,,16,,4,6.7685,1.51347,1.68294,11.27526,11.39098,1.0,21,0,0,0
pointwise,pointwise_chain_k32,pointwise,pointwise,float16,8192,2048,40.0,1,67108864,2147483648,1.0,warps,19,0,0,0,128,2684354560,0.00e+00,32,1024,,,,32,,4,5.1321,2.80269,2.8329,11.23533,14.53875,1.0,18,0,0,0
pointwise,pointwise_chain_k32,pointwise,pointwise,float32,8192,2048,20.0,1,134217728,4294967296,1.0,warps,23,0,0,0,128,2684354560,0.00e+00,32,1024,,,,32,,4,8.4056,2.176,2.72794,22.6816,22.92992,1.0,21,0,0,0
pointwise,pointwise_chain_k1,pointwise,pointwise,float16,4096,8192,1.25,0,134217728,134217728,1.0,warps,18,0,0,0,128,167772160,0.00e+00,1,1024,,,,1,,4,0.9883,0.67482,0.70298,0.67891,0.69478,1.0,18,0,0,0
pointwise,pointwise_chain_k1,pointwise,pointwise,float32,4096,8192,0.625,1,268435456,268435456,1.0,warps,21,0,0,0,128,167772160,0.00e+00,1,1024,,,,1,,4,1.0062,1.35782,1.40544,1.36806,1.41414,1.0,21,0,0,0
pointwise,pointwise_chain_k2,pointwise,pointwise,float16,4096,8192,2.5,1,134217728,268435456,1.0,warps,19,0,0,0,128,335544320,0.00e+00,2,1024,,,,2,,4,2.0015,0.67379,0.69734,1.34656,1.39571,1.0,18,0,0,0
pointwise,pointwise_chain_k2,pointwise,pointwise,float32,4096,8192,1.25,1,268435456,536870912,1.0,warps,25,0,0,0,128,335544320,0.00e+00,2,1024,,,,2,,4,2.0431,1.36294,1.41414,2.72794,2.88922,1.0,21,0,0,0
pointwise,pointwise_chain_k4,pointwise,pointwise,float16,4096,8192,5.0,1,134217728,536870912,1.0,warps,19,0,0,0,128,671088640,0.00e+00,4,1024,,,,4,,4,2.248,0.79872,1.26566,2.69926,2.84518,1.0,18,0,0,0
pointwise,pointwise_chain_k4,pointwise,pointwise,float32,4096,8192,2.5,1,268435456,1073741824,1.0,warps,24,0,0,0,128,671088640,0.00e+00,4,1024,,,,4,,4,4.0761,1.3568,1.40544,5.6105,5.72877,1.0,21,0,0,0
pointwise,pointwise_chain_k8,pointwise,pointwise,float16,4096,8192,10.0,1,134217728,1073741824,1.0,warps,19,0,0,0,128,1342177280,0.00e+00,8,1024,,,,8,,4,3.2743,1.50835,1.73619,5.56237,5.68474,1.0,18,0,0,0
pointwise,pointwise_chain_k8,pointwise,pointwise,float32,4096,8192,5.0,1,268435456,2147483648,1.0,warps,23,0,0,0,128,1342177280,0.00e+00,8,1024,,,,8,,4,4.887,1.4592,2.35162,11.34285,11.49235,1.0,21,0,0,0
pointwise,pointwise_chain_k16,pointwise,pointwise,float16,4096,8192,20.0,1,134217728,2147483648,1.0,warps,19,0,0,0,128,2684354560,0.00e+00,16,1024,,,,16,,4,3.7038,2.93683,3.03411,11.20768,11.23789,1.0,18,0,0,0
pointwise,pointwise_chain_k16,pointwise,pointwise,float32,4096,8192,10.0,1,268435456,4294967296,1.0,warps,23,0,0,0,128,2684354560,0.00e+00,16,1024,,,,16,,4,7.4021,3.0208,3.0889,22.67341,22.86438,1.0,21,0,0,0
pointwise,pointwise_chain_k32,pointwise,pointwise,float16,4096,8192,40.0,1,134217728,4294967296,1.0,warps,19,0,0,0,128,5368709120,0.00e+00,32,1024,,,,32,,4,5.0801,5.54086,5.76358,22.5495,29.27974,1.0,18,0,0,0
pointwise,pointwise_chain_k32,pointwise,pointwise,float32,4096,8192,20.0,1,268435456,8589934592,1.0,warps,23,0,0,0,128,5368709120,0.00e+00,32,1024,,,,32,,4,8.0728,4.36531,5.92179,45.40416,47.80544,1.0,21,0,0,0
reduction,sibling_redux_n32,pointwise,reduction,float16,1024,1024,29.2571,0,2293760,4390912,0.1667,regs,255,2304,0,0,128,67108864,0.00e+00,2,,32,32,16,,32,4,0.9057,0.47718,0.57549,0.50893,0.52122,0.3333,128,2560,0,0
reduction,sibling_redux_n32,pointwise,reduction,float32,1024,1024,15.0588,1,4456448,8650752,0.1667,regs,255,2304,0,0,128,67108864,0.00e+00,2,,32,32,16,,32,4,1.0607,0.44032,0.44698,0.4649,0.47411,0.3333,128,2560,0,0
reduction,sibling_redux_n64,pointwise,reduction,float16,1024,1024,53.8947,0,2490368,8781824,0.1667,regs,255,2176,1,300,128,134217728,0.00e+00,4,,32,32,16,,64,4,0.079,13.13075,13.17632,1.00864,1.04038,0.3333,128,2560,0,0
reduction,sibling_redux_n64,pointwise,reduction,float32,1024,1024,28.4444,0,4718592,17301504,0.1667,regs,255,2176,1,310,128,134217728,0.00e+00,4,,32,32,16,,64,4,0.0691,13.48813,13.55315,0.9175,0.93696,0.3333,128,2560,0,0
reduction,sibling_redux_n128,pointwise,reduction,float16,1024,1024,93.0909,0,2883584,17563648,1.0,regs,40,2112,1,1986,128,268435456,0.00e+00,8,,32,32,16,,128,4,0.0056,375.39941,376.83968,2.04595,2.09152,0.3333,128,2560,0,0
reduction,sibling_redux_n128,pointwise,reduction,float32,1024,1024,51.2,0,5242880,34603008,1.0,regs,40,2176,1,1868,128,268435456,0.00e+00,8,,32,32,16,,128,4,0.0072,258.56921,258.78169,1.83808,1.86675,0.3333,128,2560,0,0
reduction,sibling_redux_n32,pointwise,reduction,float16,2048,2048,30.5672,1,8781824,17170432,0.1667,regs,255,2304,0,0,128,268435456,0.00e+00,2,,32,32,16,,32,4,1.2859,1.44794,1.46842,1.83091,1.88826,0.3333,128,2560,0,0
reduction,sibling_redux_n32,pointwise,reduction,float32,2048,2048,15.5152,1,17301504,34078720,0.1667,regs,255,2304,0,0,128,268435456,0.00e+00,2,,32,32,16,,32,4,1.0378,1.56672,1.62611,1.62816,1.68755,0.3333,128,2560,0,0
reduction,sibling_redux_n64,pointwise,reduction,float16,2048,2048,58.5143,0,9175040,34340864,0.1667,regs,255,2176,1,300,128,536870912,0.00e+00,4,,32,32,16,,64,4,0.0602,54.27405,54.45939,3.11194,3.27936,0.3333,128,2560,0,0
reduction,sibling_redux_n64,pointwise,reduction,float32,2048,2048,30.1176,0,17825792,68157440,0.1667,regs,255,2176,1,310,128,536870912,0.00e+00,4,,32,32,16,,64,4,0.0554,55.76601,55.86734,2.67571,3.09658,0.3333,128,2560,0,0
reduction,sibling_redux_n128,pointwise,reduction,float16,2048,2048,107.7895,0,9961472,68681728,1.0,regs,40,2112,1,1986,128,1073741824,0.00e+00,8,,32,32,16,,128,4,0.008,1299.59839,1304.91083,10.46733,10.48678,0.3333,128,2560,0,0
reduction,sibling_redux_n128,pointwise,reduction,float32,2048,2048,56.8889,0,18874368,136314880,1.0,regs,40,2176,1,1868,128,1073741824,0.00e+00,8,,32,32,16,,128,4,0.0092,1045.78247,1046.00623,9.60307,9.61229,0.3333,128,2560,0,0
reduction,sibling_redux_n32,pointwise,reduction,float16,4096,1024,29.8978,1,8978432,17367040,0.1667,regs,255,2304,0,0,128,268435456,0.00e+00,2,,32,32,16,,32,4,1.0042,2.44531,2.45248,2.45043,2.46272,0.3333,128,2560,0,0
reduction,sibling_redux_n32,pointwise,reduction,float32,4096,1024,15.3985,1,17432576,34209792,0.1667,regs,255,2304,0,0,128,268435456,0.00e+00,2,,32,32,16,,32,4,1.0361,2.2487,2.25638,2.3296,2.33779,0.3333,128,2560,0,0
reduction,sibling_redux_n64,pointwise,reduction,float16,4096,1024,56.1096,0,9568256,34734080,0.1667,regs,255,2176,1,300,128,536870912,0.00e+00,4,,32,32,16,,64,4,0.0857,53.82042,53.9223,4.352,4.6208,0.3333,128,2560,0,0
reduction,sibling_redux_n64,pointwise,reduction,float32,4096,1024,29.6812,0,18087936,68419584,0.1667,regs,255,2176,1,310,128,536870912,0.00e+00,4,,32,32,16,,64,4,0.0845,55.0472,55.18181,4.1431,4.66022,0.3333,128,2560,0,0
reduction,sibling_redux_n128,pointwise,reduction,float16,4096,1024,99.9024,0,10747904,69468160,1.0,regs,40,2112,1,1986,128,1073741824,0.00e+00,8,,32,32,16,,128,4,0.008,1222.92639,1225.84985,9.81402,9.83706,0.3333,128,2560,0,0
reduction,sibling_redux_n128,pointwise,reduction,float32,4096,1024,55.3514,0,19398656,136839168,1.0,regs,40,2176,1,1868,128,1073741824,0.00e+00,8,,32,32,16,,128,4,0.0081,1079.31543,1080.68866,8.23194,8.72858,0.3333,128,2560,0,0
reduction,sibling_redux_n32,pointwise,reduction,float16,2048,4096,31.0303,1,17301504,34078720,0.1667,regs,255,2304,0,0,128,536870912,0.00e+00,2,,32,32,16,,32,4,1.0099,5.15891,5.17222,5.20806,5.22342,0.3333,128,2560,0,0
reduction,sibling_redux_n32,pointwise,reduction,float32,2048,4096,15.6336,1,34340864,67895296,0.1667,regs,255,2304,0,0,128,536870912,0.00e+00,2,,32,32,16,,32,4,1.0413,4.62234,4.63258,4.81587,4.82406,0.3333,128,2560,0,0
reduction,sibling_redux_n64,pointwise,reduction,float16,2048,4096,60.2353,0,17825792,68157440,0.1667,regs,255,2176,1,300,128,1073741824,0.00e+00,4,,32,32,16,,64,4,0.0961,107.83744,108.49382,9.91437,10.42688,0.3333,128,2560,0,0
reduction,sibling_redux_n64,pointwise,reduction,float32,2048,4096,30.5672,0,35127296,135790592,0.1667,regs,255,2176,1,310,128,1073741824,0.00e+00,4,,32,32,16,,64,4,0.0863,110.65241,111.33287,9.59488,9.60461,0.3333,128,2560,0,0
reduction,sibling_redux_n128,pointwise,reduction,float16,2048,4096,113.7778,0,18874368,136314880,1.0,regs,40,2112,1,1986,128,2147483648,0.00e+00,8,,32,32,16,,128,4,0.008,2594.52832,2604.87366,20.80051,20.83635,0.3333,128,2560,0,0
reduction,sibling_redux_n128,pointwise,reduction,float32,2048,4096,58.5143,0,36700160,271581184,1.0,regs,40,2176,1,1868,128,2147483648,0.00e+00,8,,32,32,16,,128,4,0.0092,2090.43262,2091.0321,19.24403,19.27014,0.3333,128,2560,0,0
